contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
96,78,0,46,59,4.85,32,2,0
47,48,0,42,41,4.7,55,1,1
87,42,0,100,94,2.77,81,3,1
77,49,0,41,97,4.75,59,0,1
62,40,0,80,44,1.88,16,5,0
76,50,0,99,91,3.91,45,4,0
55,57,0,89,94,1.63,27,5,0
66,68,0,92,97,4.13,41,4,1
98,96,1,50,70,2.5,29,5,1
79,59,0,41,41,3.23,3,2,0
85,37,1,59,34,0.82,67,4,1
97,61,1,30,100,2.21,3,5,0
32,92,0,49,43,4.99,25,3,0
69,88,1,99,71,1.99,26,3,0
96,63,0,34,36,2.87,0,2,0
77,49,0,77,77,0.88,32,4,0
91,65,0,78,91,2.26,57,1,0
78,64,0,61,49,4.46,60,4,0
37,35,0,71,76,3.14,83,4,1
82,33,0,88,71,0.96,16,0,0
57,73,1,41,49,2.84,14,5,1
64,75,0,100,100,3.46,39,4,0
70,60,0,93,98,4.32,42,1,0
33,31,0,43,96,4.92,35,2,1
99,99,0,34,77,3.54,81,1,0
94,68,0,56,63,4.63,77,1,0
64,56,0,88,44,1.56,83,0,0
88,60,1,55,67,1.53,29,0,0
40,67,1,58,93,3.29,0,2,0
52,78,0,44,90,4.62,52,0,1
48,55,0,55,55,4.59,65,3,1
45,36,1,62,76,3.99,38,4,1
57,41,0,51,64,4.29,2,2,1
60,47,0,40,99,2.89,79,0,1
82,98,0,100,73,1.36,74,1,0
100,75,1,96,64,4.38,82,1,1
56,71,0,51,42,1.88,82,2,1
36,71,0,84,86,4.91,14,5,1
44,74,0,88,91,3.27,12,4,0
84,74,0,48,98,1.57,22,3,0
31,97,0,82,98,2.66,26,1,0
73,87,1,35,80,1.89,59,4,1
88,46,1,35,89,3.68,9,3,0
85,56,1,93,46,4.71,74,0,1
55,96,0,52,86,0.61,52,3,0
80,65,0,98,55,4.64,70,5,1
86,69,0,85,72,3.09,13,4,0
79,48,0,73,55,2.23,29,4,0
42,90,0,34,70,0.88,78,0,1
48,61,0,80,91,1.85,70,5,0
31,52,0,48,40,1.07,19,3,1
81,52,0,98,49,1.37,60,0,0
74,62,0,98,81,4.06,90,0,0
78,38,1,68,69,0.81,3,1,0
86,55,0,67,57,2.01,40,1,0
79,48,1,59,44,4.3,14,4,1
33,57,1,88,83,3.88,54,5,1
97,46,0,46,73,1.09,58,4,0
41,97,0,50,44,2.59,52,1,0
51,68,0,100,76,1.05,51,5,1
33,79,0,44,52,4.88,70,3,1
41,36,0,64,95,0.57,74,1,1
33,45,0,69,30,2.37,66,3,1
36,56,0,36,75,3.14,76,1,1
39,37,0,71,53,2.58,51,2,1
44,89,0,74,89,2.38,0,4,0
100,57,0,71,89,2.3,8,3,0
42,85,1,34,67,2.79,16,5,1
84,82,1,63,86,2.67,15,3,0
57,73,0,82,31,4.74,69,4,1
68,85,0,85,68,2.32,1,5,0
47,39,1,34,97,3.77,78,2,1
91,80,0,64,64,0.86,17,2,0
95,40,0,56,37,1.13,42,3,0
77,78,0,96,73,4.13,36,0,0
46,97,1,31,36,2.24,25,3,1
35,91,0,74,94,2.66,7,3,0
76,46,0,71,50,1.74,37,2,1
45,62,1,51,40,2.77,88,1,1
89,100,0,89,49,2.53,12,0,0
70,59,0,88,45,4.86,17,3,1
55,74,0,60,81,4.44,49,5,1
75,37,0,31,99,3.67,5,2,0
79,89,0,31,90,1.45,42,4,0
30,82,0,37,42,4.84,86,0,1
65,100,0,37,95,2.64,56,4,0
59,72,0,61,68,0.87,69,1,0
31,43,1,42,73,4.62,10,0,1
98,68,0,34,66,3.83,61,4,0
60,59,1,66,75,3.9,1,5,1
37,74,0,66,79,3.88,8,1,0
90,75,0,86,56,4.34,5,3,0
95,32,0,89,52,4.19,44,5,1
97,87,1,66,80,0.6,58,2,0
74,51,0,39,68,4.32,84,1,0
81,90,0,61,78,2.78,90,2,0
37,91,1,93,45,1.52,40,3,0
100,76,0,49,36,3.9,42,3,0
43,67,1,46,81,1.04,79,0,0
58,60,0,63,77,2.6,38,1,0
93,84,0,49,75,1.55,67,0,0
66,31,0,85,98,2.82,66,3,1
70,68,0,84,95,3.95,67,5,1
93,41,0,78,84,2.74,83,3,0
88,64,1,30,31,2.56,2,3,0
38,34,1,58,37,4.34,22,2,1
36,35,0,48,37,4.87,40,2,1
95,66,0,82,80,4.63,73,4,0
100,68,0,39,37,1.6,66,4,0
70,40,0,72,86,4.99,77,4,1
55,76,1,53,88,2.11,43,4,0
37,38,1,85,100,0.65,39,2,1
43,60,0,70,92,4.11,22,1,0
74,76,1,71,47,1.5,50,4,1
31,75,0,60,62,3.33,27,5,0
71,49,1,43,35,0.95,3,4,1
86,50,1,86,48,4.3,66,3,1
93,49,0,54,88,2.35,84,3,1
33,46,0,98,49,4.79,68,4,0
47,75,0,100,67,4.45,75,4,1
99,45,1,78,63,1.99,13,2,0
80,74,0,78,54,2.72,42,0,0
32,74,1,71,55,3.04,87,5,1
48,86,0,51,38,1.06,69,1,1
76,66,1,78,85,3.55,3,3,1
75,97,1,36,60,3.78,28,5,1
87,93,1,80,65,1.45,80,4,0
65,72,1,87,87,3.29,87,0,1
48,54,0,70,48,3.53,67,5,1
76,77,0,39,36,1.0,45,5,0
84,81,0,47,33,1.14,89,4,1
92,66,0,92,55,3.15,3,1,0
97,64,1,88,65,3.28,12,3,0
41,74,0,75,74,4.4,39,3,1
56,93,0,37,58,3.32,4,5,1
40,81,0,66,68,2.04,78,5,1
33,40,0,99,69,3.24,54,0,0
