contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
0.31,0.69,0.01,0.21,0.73,1.91,28,5,1
0.73,0.69,0.07,0.78,0.31,1.08,72,1,0
0.57,0.51,0.47,0.29,0.76,0.37,81,2,1
0.98,0.37,0.05,0.65,0.99,1.72,57,3,0
0.95,0.86,0.61,0.21,0.21,2.27,29,6,0
0.55,0.35,0.38,0.99,0.3,1.88,90,5,0
0.56,0.44,0.43,0.27,0.59,1.53,53,3,1
0.85,0.34,0.62,0.85,0.89,1.21,76,2,0
0.65,0.83,0.68,0.97,0.47,1.62,33,2,0
0.74,0.93,0.03,0.33,0.43,2.96,49,0,0
0.94,0.82,0.27,0.61,0.24,1.36,40,4,1
0.8,0.7,0.14,0.69,0.5,1.07,59,1,0
0.22,0.96,0.2,0.75,0.82,0.53,13,1,0
0.85,0.76,0.36,0.89,0.96,2.93,17,6,0
0.26,0.76,0.46,0.34,0.88,0.8,30,5,0
0.7,0.25,0.0,0.59,0.5,1.7,59,0,1
0.7,0.89,0.31,0.63,0.43,2.71,69,2,1
0.45,0.71,0.27,0.25,0.61,1.12,76,6,0
0.48,0.48,0.15,0.23,0.27,0.79,9,0,1
0.29,0.44,0.55,0.35,0.74,0.64,68,5,0
0.32,0.4,0.03,0.48,0.99,0.98,13,5,0
0.99,0.9,0.13,0.5,0.27,1.51,87,2,0
0.83,0.64,0.53,0.24,0.72,1.42,60,1,1
0.39,0.44,0.35,0.55,0.52,2.71,1,4,0
0.41,0.37,0.44,0.24,0.95,1.62,25,6,1
0.3,0.7,0.7,0.22,0.73,1.01,58,1,0
0.87,0.39,0.0,0.54,0.29,0.31,84,3,0
0.45,0.89,0.24,0.53,0.88,2.51,14,5,0
0.34,0.65,0.72,0.74,0.84,0.44,5,2,0
0.64,0.96,0.36,0.43,0.81,1.4,42,0,0
0.77,0.6,0.31,0.99,0.27,0.9,34,5,1
0.79,0.29,0.23,0.79,0.75,2.03,5,2,0
