contribution_consistency,repayment_punctuality,default_history,attendance_score,savings_stability,loan_to_savings_ratio,average_overdue_days,current_unpaid_loans,defaulted
81,64,1,58,69,1.05,42,2,0
44,65,0,35,37,2.49,26,1,0
90,91,0,36,50,0.71,84,5,1
50,74,0,66,72,2.83,88,1,1
53,45,1,82,50,4.08,29,0,1
32,44,0,47,32,3.54,62,0,1
51,84,1,67,60,2.79,9,1,0
82,25,1,88,56,4.23,2,4,1
31,42,0,30,56,1.53,76,2,1
59,83,1,97,86,4.24,59,0,0
67,62,0,73,62,1.74,26,5,1
31,42,0,76,73,2.13,81,0,1
93,49,0,64,72,1.08,44,5,1
89,96,0,89,60,0.96,61,2,0
50,37,0,81,94,4.69,23,0,0
62,98,0,37,46,1.35,45,4,1
87,40,0,70,44,2.0,77,5,1
51,76,1,32,63,2.88,43,0,0
78,42,0,98,33,2.07,62,0,0
88,64,0,43,57,4.42,3,1,0
71,63,1,55,31,4.55,15,4,1
89,66,0,99,46,1.97,50,4,0
44,59,0,87,87,0.91,73,1,0
91,70,1,69,38,1.45,90,5,1
91,61,0,80,60,2.63,47,3,1
76,26,0,34,95,1.8,64,2,1
91,69,0,61,91,2.54,68,4,1
80,67,1,30,48,3.91,76,3,1
84,25,0,83,84,2.39,44,5,1
93,28,0,40,57,1.39,2,2,0
32,76,1,82,79,2.11,16,4,1
80,50,0,37,94,3.84,82,0,1
36,40,1,54,32,2.41,36,4,1
50,59,1,69,81,1.62,4,2,0
68,64,1,61,39,2.42,46,3,1
47,96,1,57,50,2.55,43,0,0
33,68,0,32,66,1.83,87,2,1
89,39,1,91,44,4.98,32,5,1
43,36,0,56,38,3.95,20,2,1
38,47,0,74,73,3.62,66,4,1
82,60,0,54,68,4.35,67,5,1
31,85,1,90,34,3.5,31,1,0
89,44,0,73,54,4.06,23,1,0
100,77,1,75,85,2.36,34,0,1
73,60,0,43,93,2.75,17,2,0
37,25,1,37,81,0.71,66,3,1
76,94,1,77,38,1.76,53,0,0
64,57,0,43,39,2.16,25,5,1
65,25,0,94,39,3.31,59,0,1
79,64,0,36,91,2.59,87,4,1
33,94,0,78,89,3.24,64,5,1
31,33,0,84,48,3.71,50,3,1
35,85,0,42,67,0.69,59,2,0
83,59,0,85,35,1.66,58,5,1
33,22,0,85,44,1.27,75,2,1
83,43,0,44,76,1.34,16,2,0
92,38,0,86,74,2.76,84,0,1
47,37,1,87,34,3.83,20,4,1
73,83,0,64,82,1.73,66,0,0
63,54,0,45,95,4.21,27,1,0
91,81,0,37,91,4.52,88,1,1
43,20,0,74,52,2.08,43,2,1
77,44,1,69,73,3.57,69,4,1
44,64,0,83,81,1.03,61,5,1
91,68,0,43,75,3.85,41,2,1
69,35,1,88,48,1.24,21,5,1
82,38,0,82,76,3.59,37,2,1
53,42,0,56,81,2.4,13,0,0
55,44,0,76,53,4.68,25,2,1
89,35,0,35,46,2.59,39,2,1
70,73,1,84,75,0.64,53,4,1
58,92,0,73,93,2.66,12,4,0
44,20,1,47,57,4.08,18,5,1
74,61,1,45,79,3.41,41,4,1
94,38,0,41,93,4.85,40,2,1
100,53,0,49,57,4.29,49,4,1
38,99,0,74,85,2.87,2,4,1
30,74,0,93,88,1.43,30,3,0
37,37,0,88,34,0.52,75,3,1
92,53,0,51,83,4.91,14,1,1
40,64,0,76,73,4.72,53,0,1
37,25,1,58,71,1.73,52,0,1
64,40,0,74,86,3.37,44,4,1
64,89,0,38,76,3.78,37,1,1
62,67,1,53,54,3.1,77,1,1
34,58,0,44,73,4.29,79,5,1
70,50,0,65,44,0.85,49,3,1
57,29,0,42,80,4.53,23,1,0
36,49,0,73,82,2.26,16,2,0
41,37,0,100,63,2.66,17,5,1
63,79,0,65,37,2.5,41,4,1
62,92,0,90,99,2.89,16,2,0
77,34,1,69,50,3.19,15,0,0
52,23,0,56,36,3.7,84,3,1
91,82,0,30,85,2.86,87,2,1
66,59,0,63,78,3.58,51,4,1
73,28,0,97,71,2.02,35,2,0
64,28,0,50,52,4.72,90,2,1
94,45,1,62,81,0.79,38,1,0
76,23,0,36,82,2.95,80,3,1
32,100,0,94,45,0.89,24,0,0
30,35,0,32,66,2.49,41,4,1
34,34,0,80,47,1.66,20,5,1
43,71,0,83,49,4.72,67,5,1
56,88,0,88,75,0.56,88,4,1
38,24,0,35,31,2.26,58,0,1
44,39,0,58,92,4.02,29,4,1
71,98,0,46,32,1.35,56,1,0
80,37,0,89,75,4.17,32,5,1
92,21,0,51,78,4.37,89,5,1
81,32,1,53,30,3.69,88,2,1
33,23,0,80,51,1.44,52,1,0
52,61,1,79,43,1.72,15,5,1
44,93,0,40,74,1.25,48,1,0
72,80,0,85,35,1.33,87,1,1
58,27,0,100,94,0.66,4,0,0
65,86,0,71,50,4.36,76,5,1
42,82,0,68,33,2.88,59,3,1
61,28,0,98,32,1.97,70,0,1
100,30,1,77,59,1.8,80,0,0
88,61,0,86,60,2.95,54,1,1
57,32,0,50,63,1.97,90,3,1
95,55,0,49,49,4.39,34,0,0
71,32,1,44,83,1.45,68,3,1
74,31,0,98,54,4.47,41,5,1
91,56,0,80,44,3.49,68,1,0
86,93,1,91,67,4.8,23,0,0
35,92,0,66,52,0.57,70,3,1
57,71,0,35,81,0.77,70,4,1
57,90,0,100,95,2.75,54,0,0
73,21,1,55,86,4.61,13,0,0
59,75,1,37,86,3.79,54,0,0
91,79,1,33,81,3.3,14,3,1
91,42,0,50,64,0.64,4,2,0
30,59,1,60,43,2.09,3,5,1
56,83,0,50,43,2.06,29,0,0
91,42,0,54,62,2.94,83,4,1
32,48,0,44,81,1.66,52,4,1
99,97,0,64,30,1.7,89,1,0
56,70,0,78,63,3.29,72,2,1
38,88,0,72,48,4.75,29,2,1
91,50,1,70,53,3.47,85,3,1
66,69,0,66,33,3.51,83,1,1
80,39,0,86,65,4.94,60,3,1
73,74,1,71,87,1.19,70,1,0
53,100,0,76,61,0.65,67,5,1
88,21,0,90,38,3.85,54,2,1
61,44,0,43,96,2.47,70,5,1
81,32,0,97,49,2.43,72,3,1
91,89,0,82,91,1.51,41,1,0
87,86,0,63,87,2.78,76,2,1
81,77,1,53,51,2.49,28,2,1
41,94,0,49,96,2.05,34,0,0
68,83,0,98,77,2.49,44,3,1
31,88,0,59,37,2.23,73,0,0
32,78,0,36,44,4.73,89,2,1
85,79,0,65,61,4.91,28,3,1
88,81,1,67,82,4.28,69,3,1
31,35,0,81,96,4.96,2,5,1
31,87,0,44,33,1.7,56,4,1
83,34,1,75,59,4.29,65,1,1
30,74,0,52,42,2.33,21,4,1
48,54,0,41,50,3.86,26,4,1
31,74,0,73,70,1.41,21,2,1
82,33,0,44,48,4.15,73,5,1
73,68,1,78,77,0.88,48,1,0
61,26,0,50,92,1.72,82,4,1
99,49,0,44,49,4.2,23,4,1
61,68,0,43,93,3.86,26,3,1
97,35,1,71,66,2.76,35,2,0
84,70,1,44,60,3.53,16,4,1
85,91,0,92,47,1.34,55,1,0
46,99,0,97,49,3.5,9,0,0
